price,rating,5G,NFC,IR_Blaster,Processor_Brand,Core_Count,Clock_Speed_GHz,RAM Size GB,Storage Size GB,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Refresh_Rate,Notch_Type,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,memory_card_size,brand
1,0.75,0.0,1.0,0.0,0.2857142857142857,1.0,0.660377358490566,0.44258639910813824,0.49988278502774086,0.46153846153846156,0.3,0.7246376811594204,0.45454545454545453,0.16666666666666666,0.0,0.24242424242424243,1.0,0.2413793103448276,0.5,1.0,0.0,0.08771929824561403
1,0.7857142857142857,1.0,1.0,0.0,0.2857142857142857,1.0,0.6132075471698112,0.44258639910813824,0.24982417754161132,0.38461538461538464,0.165,0.7318840579710147,0.45454545454545453,0.16666666666666666,0.16666666666666666,0.31313131313131315,1.0,0.7241379310344828,0.5,0.0,0.0,0.05263157894736842
0,1.0,0.0,0.0,0.0,0.0,1.0,0.6132075471698112,0.44258639910813824,0.24982417754161132,0.5384615384615384,0.325,0.778985507246377,0.6493506493506493,0.3333333333333333,0.0,0.24242424242424243,1.0,0.5172413793103449,0.5,0.0,0.0,0.08771929824561403
1,0.7142857142857143,0.0,0.0,1.0,0.0,1.0,0.6132075471698112,0.3311036789297659,0.24982417754161132,0.5384615384615384,0.335,0.7735507246376812,0.45454545454545453,0.3333333333333333,0.0,0.5353535353535354,1.0,0.2413793103448276,0.5,1.0,0.0,0.03508771929824561
1,0.75,0.0,0.0,1.0,0.2857142857142857,1.0,0.8254716981132075,0.3311036789297659,0.24982417754161132,0.5507692307692308,0.335,0.7608695652173912,0.45454545454545453,0.4666666666666667,0.0,0.31313131313131315,1.0,0.2413793103448276,0.5,0.0,0.0,0.24561403508771928
1,0.75,0.0,1.0,0.0,0.0,1.0,0.6132075471698112,0.6655518394648828,0.49988278502774086,0.49230769230769234,0.33,0.7318840579710147,0.45454545454545453,0.16666666666666666,0.16666666666666666,0.31313131313131315,1.0,0.2413793103448276,0.5,1.0,0.0,0.0
1,0.5,1.0,0.0,0.0,0.14285714285714285,1.0,0.6132075471698112,0.2196209587513935,0.24982417754161132,0.5384615384615384,0.05,0.7427536231884058,0.2597402597402597,0.16666666666666666,0.0,0.24242424242424243,1.0,0.10344827586206896,0.5,0.0,0.1111111111111111,0.10526315789473684
0,0.6785714285714286,0.0,0.0,0.0,0.0,1.0,0.9905660377358491,0.6655518394648828,0.49988278502774086,0.46153846153846156,0.6,0.7934782608695654,0.6493506493506493,0.3333333333333333,0.0,0.24242424242424243,0.3333333333333333,0.5172413793103449,0.5,0.0,0.0,0.05263157894736842
0,0.7857142857142857,0.0,0.0,0.0,0.5714285714285714,0.5,1.0,0.3311036789297659,0.24982417754161132,0.2453846153846154,0.0,0.6702898550724637,0.5032467532467533,0.3333333333333333,0.6666666666666666,0.050505050505050504,1.0,0.1724137931034483,0.5,1.0,0.0,0.22807017543859648
1,0.5357142857142857,0.0,1.0,0.0,0.0,1.0,0.6132075471698112,0.3311036789297659,0.24982417754161132,0.5384615384615384,0.165,0.7536231884057972,0.2597402597402597,0.16666666666666666,0.16666666666666666,0.23232323232323232,0.6666666666666666,0.10344827586206896,0.5,0.0,0.0,0.15789473684210525
